Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Draymond Green,34,PF,33,31,943,12.0,.532,.529,.271,3.8,19.3,11.3,26.4,1.8,3.8,23.8,15.7,0.1,1.5,1.6,.079,-2.2,2.4,0.2,0.5,,greendr01
2,Stephen Curry,36,PG,30,30,941,21.0,.615,.632,.204,1.5,15.9,8.5,31.5,1.8,1.6,14.5,28.6,1.8,1.2,3.0,.152,5.8,0.3,6.1,1.9,,curryst01
3,Andrew Wiggins,29,SF,32,32,928,16.6,.573,.413,.260,5.3,10.8,7.9,12.2,1.5,2.7,7.8,22.5,1.4,1.0,2.4,.126,1.6,-0.3,1.2,0.8,,wiggian01
4,Buddy Hield,32,SG,38,9,883,12.9,.568,.690,.074,2.6,13.3,7.8,10.1,1.5,1.0,10.0,21.9,0.4,0.9,1.3,.073,-0.1,-0.7,-0.8,0.3,,hieldbu01
5,Jonathan Kuminga,22,PF,32,10,832,16.7,.539,.274,.400,5.4,15.0,10.0,13.6,1.7,2.1,9.1,27.6,0.5,1.0,1.5,.088,0.5,-0.3,0.2,0.5,,kuminjo01
6,Trayce Jackson-Davis,24,C,37,30,735,19.4,.604,.004,.266,10.8,21.7,16.1,16.5,1.2,4.0,10.6,17.2,1.6,1.1,2.7,.176,0.9,1.3,2.2,0.8,,jackstr02
7,Brandin Podziemski,21,SG,30,8,725,11.5,.491,.457,.130,4.3,15.6,9.8,18.3,1.9,0.9,11.0,15.8,0.3,0.9,1.2,.080,-2.3,0.9,-1.4,0.1,,podzibr01
8,Lindy Waters III,27,SG,31,9,577,9.0,.512,.713,.044,2.5,12.6,7.4,8.8,1.7,1.3,7.1,14.4,0.1,0.6,0.8,.065,-3.4,0.3,-3.1,-0.2,,waterli01
9,Moses Moody,22,SG,31,4,502,11.8,.576,.602,.214,2.6,8.9,5.6,7.9,1.4,1.1,10.1,19.9,0.3,0.5,0.8,.072,-1.3,-0.6,-1.9,0.0,,moodymo01
10,Kevon Looney,28,C,32,5,499,18.4,.530,.008,.341,19.5,26.1,22.7,14.9,2.6,1.7,11.6,14.4,1.0,0.9,1.9,.183,-0.4,0.8,0.4,0.3,,looneke01
11,Kyle Anderson,31,PF,32,3,485,14.7,.501,.320,.157,5.2,17.0,10.9,21.6,2.5,3.5,9.9,15.7,0.5,0.8,1.3,.124,-0.5,2.4,1.9,0.5,,anderky01
12,Dennis Schröder,31,PG,13,13,369,5.9,.427,.460,.194,1.7,6.5,4.0,22.7,1.2,0.5,15.2,20.2,-0.5,0.3,-0.2,-0.027,-6.1,-1.8,-7.9,-0.6,,schrode01
13,Gary Payton II,32,SG,28,4,368,15.2,.577,.302,.142,9.1,13.3,11.1,13.3,2.6,2.6,11.1,14.4,0.5,0.5,1.1,.141,-1.2,1.9,0.7,0.2,,paytoga02
14,De'Anthony Melton,26,SG,6,2,121,13.5,.539,.648,.148,5.0,12.6,8.7,20.9,2.8,1.6,14.8,23.4,0.0,0.2,0.2,.077,-1.5,0.5,-1.0,0.0,,meltode01
15,Gui Santos,22,PF,14,0,113,10.6,.638,.708,.250,6.3,12.5,9.3,13.0,2.1,1.7,25.3,13.2,0.0,0.1,0.2,.079,-2.9,0.9,-2.0,0.0,,santogu01
16,Pat Spencer,28,PG,16,0,108,15.4,.483,.189,.270,6.6,13.1,9.7,31.5,3.6,1.8,17.9,19.6,0.0,0.2,0.2,.094,-1.2,2.9,1.7,0.1,,spencpa01
17,Quinten Post,24,PF,3,0,13,16.4,.538,.571,.143,7.8,0.0,4.0,12.4,0.0,0.0,0.0,24.0,0.0,0.0,0.0,.118,5.0,-1.3,3.7,0.0,,postqu01
18,Reece Beekman,23,PG,2,0,4,42.7,1.000,.000,.000,25.4,0.0,13.1,41.4,12.1,0.0,0.0,10.5,0.0,0.0,0.0,.596,9.9,15.8,25.7,0.0,,beekmre01
,Team Totals,,,38,38,9146,,.554,.451,.216,,,,,,,,,8.3,11.7,20.0,.105,-0.2,0.5,0.3,5.4,,-9999
