Player,Age,2024-25,2025-26,2026-27,2027-28,2028-29,2029-30,Guaranteed
36,"$55,761,216","$59,606,817","$62,587,158",,,,"$177,955,191",
29,"$26,276,786","$28,223,215","$30,169,644",,,,"$54,500,001",
34,"$24,107,143","$25,892,857","$27,678,571",,,,"$77,678,571",
31,"$13,025,250",,,,,,"$13,025,250",
32,"$9,130,000",,,,,,"$9,130,000",
31,"$8,780,488","$9,219,512","$9,658,536",,,,"$18,000,000",
32,"$8,780,488","$9,219,512","$9,658,536","$10,097,560",,,"$27,658,536",
28,"$8,000,000",,,,,,"$8,000,000",
22,"$7,636,307",,,,,,"$7,636,307",
22,"$5,803,269","$11,574,075","$12,500,000","$13,425,925",,,"$43,303,269",
21,"$3,519,960","$3,687,960","$5,679,459",,,,"$7,207,920",
27,"$2,196,970",,,,,,"$2,196,970",
24,"$1,891,857","$2,221,677","$2,406,205",,,,"$1,891,857",
22,"$1,891,857","$2,221,677",,,,,,
24,,,,,,,,
28,,,,,,,,
Team Totals,,"$176,801,591","$151,867,302","$160,338,109","$23,523,485",,,"$448,183,872"
